
company_name,crawled_date,job_description,job_title,job_url,posted_date
"Газпром трансгаз Ухта, ООО",2019-04-24,"{'Обязаности:': ['1. Обеспечение соблюдения последовательности выполнения операций пуска и остановки газотранспортного оборудования;', '2. Определение неисправностей в работе газотранспортного оборудования;', '3. Оперативный контроль работы ремонтного персонала и специалистов, выполняющих диагностическое обследование на газотранспортном оборудовании;', '4. Поддержание заданных технологических режимов работы газотранспортного оборудования;', '5. Контроль проведения ТОиР, ДО газотранспортного оборудования;', '6. Обход оборудования по регламентированному маршруту обслуживания компрессорных станций (КС).'], 'Требования': ['1. Высшее образование по специальности;', '2. Опыт работы по специальности от 3-х лет.']}",Инженер по эксплуатации оборудования газовых объектов (сменный) 2 категории,https://www.gazpromvacancy.ru/job/inzhener-po-ehkspluatacii-oborudovanija-gazovykh-obekto-9/,23 апреля 2019 года
"Газпром переработка, ООО",2019-04-24,"{'Обязаности:': ['1. Разработка и правовая экспертиза внутренних документов и локальных нормативных актов юридического лица;', '2. Подготовка правовых заключений;', '3. Проведение правовой экспертизы законопроектов на предмет оценки регулирующего воздействия законопроектов на деятельность юридического лица;', '4. Защита интересов перед органами и должностными лицами, уполномоченными рассматривать дела об административных правонарушениях;', '5. Ведение претензионной работы, осуществление судебной защиты интересов в арбитражных судах, судах общей юрисдикции, третейских судах.'], 'Требования': ['1. Высшее юридическое образование;', '2. Опыт работы не менее 3х лет в компаниях со сложной корпоративной структурой (наличие дочерних обществ, филиалов);', '3. Опыт работы по правовому сопровождению сделок, опыт работы по разработке и экспертизе внутренних документов хозяйственного общества (опыт корпоративного юриста);\r', '4. Опыт работы по организации защиты прав и законных интересов юридического лица в арбитражных судах и судах общей юрисдикции;', '5. Наличие опыта судебной работы с предоставлением подтверждающих материалов;', '6. Опытный пользователь MS Office (Word, Excel, Outlook, PowerPoint).']}",Руководитель группы по административной и правоприменительной работе,https://www.gazpromvacancy.ru/job/rukovoditel-gruppy-po-administrativnoi-i-pravoprime/, 5 апреля 2019 года
"Газпром переработка, ООО",2019-04-24,"{'Обязаности:': ['1. Обеспечение бесперебойной работоспособности оборудования УКВ радиосвязи, радиосистем ШПД, РРЛ, телефонной связи, сетей передачи данных, кабельных линий связи, антенно-мачтовых сооружений, оборудования связи систем линейной телемеханики в зоне эксплуатационной ответственности;', '2. Исполнение графиков технического обслуживания и ремонта оборудования технологической связи, в том числе с привлечением подрядных организаций;', '3. Работа с проектной и рабочей документацией.'], 'Требования': ['1. Высшее профессиональное образование;', '2. Опыт работы на аналогичной должности не менее 3 лет;', '3. Обязателен опыт работы по эксплуатации оборудования УКВ радиосвязи, радиосистем ШПД, РРЛ, телефонной связи, сетей передачи данных, кабельных линий связи;', '4. Опыт в производстве работ на высоте;', '5. Опытный пользователь MS Office (Excel, Word, Outlook, PowerPoint).\r', '\xa0', '\xa0']}",Инженер электросвязи 1 категории Филиала «Управление по транспортировке жидких углеводородов»,https://www.gazpromvacancy.ru/job/inzhener-ehlektrosvjazi-1-kategorii-filiala-upravlenie/, 5 апреля 2019 года
"Газпром переработка, ООО",2019-04-24,"{'Обязаности:': ['1. Выполнение мероприятий по улучшению работы оборудования и систем телемеханики, систем обнаружения утечек, недопущению возникновения отказов и неполадок;', '2. Планирование и контроль проведения работ по техническому обслуживанию систем;', '3. Участие в подготовке технических требований к системе автоматизации на вновь проектируемые объекты;', '4. Рассмотрение проектной и рабочей документации на строящиеся объекты по направлению автоматизации;', '5. Предоставление первичных данных для формирования заявок на производственно-эксплуатационные нужды;', '6. Разработка графиков технического обслуживания оборудования систем автоматизации;', '7. Участие в разработке первичных документов по текущему и капитальному ремонту оборудования автоматизации, осуществление надзора за подрядными организациями при выполнении работ.'], 'Требования': ['1. Высшее профессиональное образование;', '2. Опыт работы на аналогичной должности не менее 3 лет;', '3. Знание основ автоматизации и телемеханики, промышленной электроники, теоретических основ электротехники;', '4. Опытный пользователь MS Office (Excel, Word, Outlook, Power Point), MapInfo, AutoCad.']}","Инженер КИПиА Филиал ""Управление по транспортировке жидких углеводородов""",https://www.gazpromvacancy.ru/job/inzhener-kipia-filial-upravlenie-po-transportirovke-zh/, 5 апреля 2019 года
"Газпром переработка, ООО",2019-04-24,"{'Обязаности:': ['1. Обеспечение качественного выполнения работ по техническому обслуживанию и технической эксплуатации систем телемеханики, систем обнаружения утечек, пожарообнаружения, пожаротушения;', '2. Устранение дефектов в работе оборудования автоматизации;', '3. Выполнение ремонта, сборки, поверки, регулировки, испытаний, сдачи теплоизмерительных, электромагнитных, электродинамических, пирометрических, автоматических и других приборов средней сложности со снятием схем;', '4. Выполнение вычислений абсолютной и относительной погрешности при поверке и испытаниях приборов.'], 'Требования': ['1. Среднее профессиональное образование по специальности;', '2. Опыт работы на аналогичной должности не менее 1 года;', '3. Наличие удостоверения (свидетельства) по направлению;', '4. Опыт производства работ на высоте;', '5. Опыт работы по эксплуатации антенно-фидерных устройств оборудования УКВ радиосвязи, радиосистем ШПД, РРЛ;', '6. Удостоверение по безопасности работ на высоте не ниже 1 группы;', '7. Опытный пользователь MS Office (Excel, Word, Outlook, PowerPoint).']}",Слесарь КИПиА 5 разряда Филиала «Управление по транспортировке жидких углеводородов»,https://www.gazpromvacancy.ru/job/slesar-kipia-5-razrjada-filiala-upravlenie-po-transpo/, 5 апреля 2019 года
"Газпром переработка, ООО",2019-04-24,"{'Обязаности:': ['Обеспечение работоспособности, ремонт и обслуживание\xa0 воздушной линии электропередачи.'], 'Требования': ['1. Среднее профессиональное образование или высшее образование по специальности;', '2. Квалификационное удостоверение по профессии ""Электромонтер по ремонту и обслуживанию воздушных линий электропередачи\xa0 4-5 разряда"";', '3. Опыт работы в электроэнергетике от 3 лет;', '4. Знание устройства и электрических схем различных электрических машин, электроаппаратов, электроприборов измерения и автоматического регулирования;', '5. Знание принципа действия электродвигателей, генераторов, аппаратуры распределительных устройств, электрических сетей, электроприборов, аккумуляторов, контроллеров и другого электрооборудования и источников питания.']}",Электромонтёр воздушных линий электропередачи 5 разряда Филиала «Управление по транспортировке жидких углеводородов»,https://www.gazpromvacancy.ru/job/ehlektromontjor-vozdushnykh-linii-ehlektroperedachi-5-razrja/, 5 апреля 2019 года
"Газпром переработка, ООО",2019-04-24,"{'Обязаности:': ['1. Обеспечение работоспособности, ремонт и обслуживание электрооборудования блок-контейнерных электростанций,\xa0крановых узлов конденсатопроводов;', '2. Обслуживание и эксплуатация резервных дизельных электростанций.'], 'Требования': ['1. Среднее профессиональное образование или высшее образование по специальности;', '2. Квалификационное удостоверение по профессии ""Электромонтер по ремонту и обслуживанию воздушных линий электропередачи\xa0 4-5 разряда"";', '3. Квалификационное удостоверение по профессии ""Машинист двигателей внутреннего сгорания"";', '4. Опыт работы в электроэнергетике от 3 лет;', '5. Знание устройства и электрических схем различных электрических машин, электроаппаратов, электроприборов измерения и автоматического регулирования;', '6. Знание принципа действия электродвигателей, генераторов, аппаратуры распределительных устройств, электрических сетей, электроприборов, аккумуляторов, контроллеров и другого электрооборудования и источников питания.']}",Электромонтёр по ремонту и обслуживанию электрооборудования Филиала «Управление по транспортировке жидких углеводородов»,https://www.gazpromvacancy.ru/job/ehlektromontjor-po-remontu-i-obsluzhivaniju-ehlektrooboru-1/, 5 апреля 2019 года
"Газпром переработка, ООО",2019-04-24,"{'Обязаности:': ['Монтаж, наладка, техническое обслуживание антенно-мачтовых сооружений, антенно-фидерных устройств и станционного оборудования УКВ радиосвязи, радиосистем ШПД, РРС, на опасном производственном объекте.'], 'Требования': ['1. Среднее профессиональное образование по специальности;\r', '2. Опыт работы на аналогичной должности не менее 1 года;\r', '3. Наличие удостоверения (свидетельства) по направлению;\r', '4. Опыт производства работ на высоте;\r', '5. Опыт работы по эксплуатации антенно-фидерных устройств оборудования УКВ радиосвязи, радиосистем ШПД, РРЛ;\r', '6. Удостоверение по безопасности работ на высоте не ниже 1 группы.']}",Антенщик-мачтовик 5 разряда Филиала «Управление по транспортировке жидких углеводородов»,https://www.gazpromvacancy.ru/job/antenshchik-machtovik-5-razrjada-filiala-upravlenie-po-tra/, 5 апреля 2019 года
"ГАЗПРОМ, ПАО",2019-04-24,"{'Обязаности:': ['Сбор, обработка и анализ информации по рыночному риску и риску ликвидности и методам оценки рыночного риска и риска ликвидности и управления в структурных подразделениях ПАО «Газпром», а также организациях Группы Газпром;\r', 'Подготовка внутренней нормативной документации в сфере управления рыночным риском и риском ликвидности;\r', 'Выявление и оценка рыночного риска и риска ликвидности, разработка контрольных процедур и мер по управлению рыночным риском и риском ликвидности;\r', 'Определение требований к управлению рыночным риском и риском ликвидности, анализ уровня рисков, а также данных о ходе и результатах выполнения планов мероприятий по управлению рисками, соответствия целевым и планово-контрольным показателям, допустимым уровням рисков;\r', 'Подготовка информации по результатам управления рисками и предложений по повышению эффективности системы управления рисками;\r', 'Организация совещаний по вопросам, относящимся к деятельности отдела;\r', 'Участие во внутренних проверках.\xa0'], 'Требования': ['Знание передовых методик и практик идентификации, качественной и количественной оценки, анализа и управления рыночным риском (в. т.ч. валютным и процентным)/риском ликвидности и опыт применения их на практике;\r', 'Владение методами качественной и количественной оценки рисков, знание подходов по классификации и учету рисков;\r', 'Навыки статистического и математического анализа больших объемов данных;\r', 'Понимание экономической сути рыночного риска (в. т.ч. валютного и процентного)/риска ликвидности, установления и мониторинга лимитов;\r', 'Знание стандартов МСФО, ПБУ, подходов к формированию резервов и их прогнозированию (отчеты, риски, основные требования);\r', 'Опытный пользователь Microsoft Excel\xa0(макросы, сводные таблицы, VBA), опыт работы с Bloomberg, REUTERS, MOEX;\r', 'Знание моделей оценки рисков (Sensitivities, VaR, Stress-testing, CVA);\r', 'Навыки методологической работы (разработка/внедрение внутренних политик и методик управления рисками);\r', 'Знание принципов построения и функционирования интегрированных систем управления рисками и внутреннего контроля;\r', 'Понимание основ корпоративного управления и взаимосвязи с системой управления рисками и внутреннего контроля;\r', 'Знание международных стандартов по управлению рисками и смежным вопросам: • Стандарт управления риском Федерации европей-ских ассоциаций риск-менеджеров (A Risk Man-agement Standard, FERMA); • Международный стандарт ISO 31000:2009 «Управление рисками. Принципы и руководящие указания», ISO 73:2009 «Управление рисками. Словарь», ISO/IEC 31010:2009 «Управление рисками — методы оценки рисков»; • Стандарты COSO «Интегрированные системы управления риском на предприятиях», Комитет спонсорских организаций комиссии Тредвей (Stand-ard COSO, ERM — Integrated Framework.\xa0']}",Ведущий эксперт (рыночные риски и риск ликвидности),https://www.gazpromvacancy.ru/job/vedushchii-ehkspert-rynochnye-riski-i-risk-likvidnosti/, 6 апреля 2019 года
"Газпром переработка, ООО",2019-04-24,"{'Обязаности:': ['1.\xa0Формирование плана повышения квалификации и профессиональной подготовки персонала;\r', '2. Планирование, контроль и анализ проведения закупочной деятельности на услуги по подготовке кадров;\r', '3. Заключение и исполнение договоров на оказание образовательных услуг;\r', '4. Оформление отчетности, информационно-аналитических материалов;\r', '5. Внесение информации по обучению работников по графику повышения квалификации и профессиональной подготовки руководителей и специалистов в АСУП;\r', '6. Планирование средств на все виды обучения и контроль расходов, в т.ч в разрезе филиалов;\r', '7. Оформление корпоративной периодической и годовой статистической отчетности.'], 'Требования': ['1. Высшее образование;\r', '2. Приветствуется опыт работы на аналогичной должности не менее 5 лет в дочерних обществах ПАО ""Газпром"";\r', '3. Наличие прикладных знаний: возможности использования современных информационных технологий, порядок составления планов подготовки, переподготовки и повышения квалификации, порядок ведения учета и составления установленной отчетности, порядок организации закупочной деятельности и договорной работы;\r', '4. Опытный пользователь MS Office (Word, Excel, Outlook, PowerPoint).']}",Главный специалист по обучению,https://www.gazpromvacancy.ru/job/glavnyi-specialist-po-obucheniju/, 5 апреля 2019 года
